Trans. Date,Post Date,Description,Amount,Category
10/25/2023,10/25/2023,DUNKIN,5.08,Restaurants
10/24/2023,10/24/2023,DUNKIN,5.08,Restaurants
10/24/2023,10/24/2023,SUBWAY,8.33,Restaurants
10/17/2023,10/17/2023,SUBWAY,4.46,Restaurants
10/16/2023,10/16/2023,DUNKIN,2.09,Restaurants
10/16/2023,10/16/2023,DUNKIN,5.08,Restaurants
10/12/2023,10/12/2023,DUNKIN,5.08,Restaurants
10/11/2023,10/11/2023,DUNKIN,5.08,Restaurants
10/10/2023,10/10/2023,DUNKIN,5.08,Restaurants
10/10/2023,10/10/2023,SUBWAY,8.33,Restaurants
10/9/2023,10/9/2023,DUNKIN,5.08,Restaurants
10/4/2023,10/4/2023,DUNKIN,5.08,Restaurants
10/3/2023,10/3/2023,DUNKIN,5.08,Restaurants
10/3/2023,10/3/2023,SUBWAY,8.33,Restaurants
10/2/2023,10/2/2023,DUNKIN,5.08,Restaurants
10/1/2023,10/1/2023,DUNKIN,13.39,Restaurants
10/1/2023,10/1/2023,SUBWAY,8.34,Restaurants
9/28/2023,9/28/2023,DUNKIN,5.08,Restaurants
9/28/2023,9/28/2023,SUBWAY,8.33,Restaurants
9/27/2023,9/27/2023,AMAZON,7.49,Merchandise
9/26/2023,9/27/2023,AMAZON,-14.32,Payments and Credits
9/26/2023,9/27/2023,AMAZON,-7.71,Payments and Credits
